"EDV,lv","EDP,lv","pEndIVC,lv","pMax,lv","ESV,lv","pEndEj,lv","EDV,rv","EDP,rv","pEndIVC,rv","pMax,rv","ESV,rv","pEndEj,rv","EDV,aWave,la","pMax,aWave,la","ESV,aWave,la","VMax,vWave,la","pMax,vWave,la","ESV,vWave,la","pMin,vWave,la","EDV,aWave,ra","pMax,aWave,ra","ESV,aWave,ra","VMax,vWave,ra","pMax,vWave,ra","ESV,vWave,ra","pMin,vWave,ra"
156.3,10.07,73.79,120.59,84.05,95.67,113.48,3.61,17.09,29.27,41.28,10.7,68.52,14.08,29.93,74.39,7.08,54.44,2.58,50.68,5.49,30.43,65.14,2.47,38.11,-0.29
153.41,8.75,58.38,118.38,84.03,95.18,108.86,2.79,16.88,26.93,39.8,10.48,64.16,13.44,29.5,70.2,6.79,51.84,2.37,49.81,5.08,28.97,64.48,2.7,37.6,-0.38
164.33,11.64,73.37,131.71,71.79,97.27,130.63,4.73,18.79,35.39,37.76,11.75,72.69,15.4,30.53,80.02,9.66,52.62,2.51,57.82,7.83,26.9,70.77,3.6,38.93,-0.25
145.28,10.99,40.52,121.63,66.7,93.01,123.55,3.53,15.94,37.26,45.26,16.42,65.26,15.4,28.54,80.91,8.78,49.23,1.66,50.93,6.59,28.94,71.92,3.36,42.7,0.11
162.37,10.02,73.67,126.55,74.02,100.5,123.84,3.48,15.94,33.85,35.52,8.12,68.58,15.49,28.86,79.44,10.01,50.23,2.16,53.34,7.12,27.09,66.92,3.2,37.51,-0.41
152.94,10.46,82.29,119.26,81.64,91.93,118.44,4.33,17.86,31.69,47.15,14.6,63.96,13.97,29.32,72.51,8.76,49.61,2.27,52.48,6.38,27.32,64.04,3.1,41.25,-0.03
145.28,11.74,73.62,125.01,77.09,106.36,102.25,4.19,15.85,26.5,34.0,8.18,62.83,12.42,30.24,66.33,6.84,48.16,1.95,52.63,5.45,26.07,58.78,2.3,32.8,-1.0
153.55,9.43,76.93,125.92,71.83,94.9,118.05,4.33,16.73,31.27,36.13,10.75,64.96,14.3,26.89,70.46,6.89,47.52,1.56,52.81,6.97,24.52,64.09,2.67,35.56,-0.6
177.18,17.68,57.96,148.4,71.4,113.55,142.83,5.15,20.06,40.35,35.2,12.45,75.06,18.45,32.87,84.71,13.84,55.84,3.9,59.2,9.16,29.32,73.93,5.05,42.18,0.08
152.28,8.31,64.16,118.69,81.87,98.23,121.61,3.0,20.22,34.18,51.69,18.19,61.11,13.95,28.08,69.48,7.88,48.46,2.05,49.5,5.82,28.58,65.2,3.36,43.74,0.27
154.42,12.62,76.53,121.07,85.38,99.08,115.95,4.88,17.4,30.7,46.87,14.36,65.29,14.61,29.68,72.37,9.1,51.64,2.87,53.47,6.58,26.39,64.67,3.36,41.21,-0.03
180.18,17.32,77.38,128.12,81.52,94.36,133.9,7.69,16.07,34.01,34.97,6.27,72.11,14.98,33.78,86.68,13.2,55.39,3.36,59.23,7.18,28.24,69.76,3.77,38.93,-0.27
174.27,11.11,39.4,125.98,94.92,98.06,131.19,3.04,13.96,34.13,52.34,15.21,62.83,15.61,29.23,80.88,11.07,53.17,2.92,48.17,5.33,30.92,69.4,3.78,45.45,0.45
176.37,15.51,54.98,142.48,73.85,102.43,147.45,4.85,21.56,42.92,44.66,17.38,73.12,18.72,31.26,90.78,15.3,54.16,3.22,55.44,8.53,29.75,75.5,4.98,45.64,0.48
124.62,8.69,84.1,114.53,76.05,95.03,93.26,3.69,16.99,26.68,44.8,14.15,56.22,10.09,28.15,59.05,4.43,45.34,1.25,48.57,4.48,26.9,56.92,1.91,35.51,-0.65
176.89,13.03,69.4,131.46,76.46,94.48,136.01,4.38,16.76,34.8,35.92,9.11,79.51,17.86,32.6,93.92,12.8,59.27,3.46,58.14,8.31,28.44,75.89,3.88,40.37,-0.1
162.44,9.95,33.46,120.48,83.57,97.27,118.48,2.56,11.22,29.71,40.08,10.12,59.85,14.54,28.47,73.78,8.8,49.34,2.12,46.85,5.02,30.52,65.49,3.21,40.2,-0.14
157.71,12.7,77.39,117.73,93.81,98.87,119.6,5.03,19.38,31.76,55.68,17.67,66.52,14.05,30.76,71.22,8.12,54.84,3.43,53.37,6.34,28.5,64.74,3.14,44.11,0.3
153.26,9.87,74.77,126.38,77.01,98.59,116.75,3.54,16.33,32.24,40.48,11.49,69.99,14.62,29.43,77.92,8.21,52.91,2.35,52.37,6.33,28.75,67.25,2.81,37.7,-0.34
166.22,13.09,43.77,123.5,90.34,99.4,125.73,3.48,15.28,33.06,50.02,14.54,66.39,15.93,30.06,76.22,10.05,54.68,3.48,49.95,6.0,30.57,68.84,3.92,44.67,0.38
155.58,9.08,55.01,121.7,88.42,100.71,106.31,2.57,14.05,26.3,39.64,8.29,66.07,14.78,28.41,77.52,7.86,55.8,2.84,48.14,5.19,29.0,64.25,2.36,36.84,-0.41
161.24,9.69,52.72,119.95,91.63,96.63,112.39,2.75,16.43,27.81,43.39,11.31,67.94,15.13,29.61,77.31,7.49,58.14,3.16,48.03,5.04,31.98,66.24,2.5,39.64,-0.16
