max_def,weight
0.18,59.26
0.23,51.42
0.23,51.42
0.18,59.26
0.26,52.94
0.31,40.33
0.19,35.85
0.09,61.38
0.09,61.38
0.19,35.85
0.05,54.56
0.04,57.53
0.08,69.24
0.3,29.66
0.3,29.66
0.08,69.24
0.63,35.7
0.1,40.22
0.17,46.21
0.07,45.31
0.07,45.31
0.17,46.21
0.12,52.06
0.05,73.7
0.09,83.11
0.05,79.64
0.05,79.64
0.09,83.11
0.07,89.81
0.84,35.92
0.44,30.63
0.43,42.29
0.43,42.29
0.44,30.63
0.23,36.06
0.07,56.0
0.11,63.7
0.05,61.52
0.05,61.52
0.11,63.7
0.09,69.98
1.83,25.88
3.0,29.3
0.08,57.43
0.08,57.43
3.0,29.3
0.13,65.04
0.19,59.36
0.1,50.89
1.06,36.29
1.06,36.29
0.1,50.89
0.57,31.11
0.35,41.66
0.33,41.05
0.06,75.55
0.06,75.55
0.33,41.05
0.06,74.45
0.04,59.83
0.04,58.81
0.12,41.22
0.12,41.22
0.04,58.81
0.12,40.52
0.29,33.61
0.43,37.0
0.84,26.78
0.84,26.78
0.43,37.0
1.23,29.48
0.1,67.1
0.04,54.75
0.13,59.2
0.13,59.2
0.04,54.75
0.06,48.3
0.24,56.58
0.2,54.01
0.4,48.15
0.4,48.15
0.2,54.01
0.33,45.96
0.05,75.71
0.04,71.77
0.06,68.34
0.06,68.34
0.04,71.77
0.05,64.78
0.19,41.27
0.15,39.04
0.04,72.2
0.04,72.2
0.15,39.04
0.03,68.3
0.09,76.67
0.07,73.07
0.22,53.91
0.22,53.91
0.07,73.07
0.18,51.38
1.13,30.75
0.92,29.21
0.09,64.01
0.09,64.01
0.92,29.21
0.07,60.8
0.06,49.87
0.16,63.24
0.27,31.59
0.27,31.59
0.16,63.24
0.7,40.06
0.49,28.17
0.46,27.69
0.04,63.02
0.04,63.02
0.46,27.69
0.03,61.94
0.11,60.22
0.1,59.33
0.24,45.7
0.24,45.7
0.1,59.33
0.23,45.03
0.3,49.7
0.16,42.56
0.15,63.59
0.15,63.59
0.16,42.56
0.08,54.44
0.05,68.83
0.08,78.03
0.76,29.73
0.76,29.73
0.08,78.03
1.24,33.7
0.13,51.49
0.16,54.42
0.37,37.48
0.37,37.48
0.16,54.42
0.47,39.61
0.08,89.28
0.03,71.22
0.12,73.25
0.12,73.25
0.03,71.22
0.05,58.43
0.46,40.98
0.56,43.15
0.18,54.41
0.18,54.41
0.56,43.15
0.22,57.29
0.05,60.1
0.07,63.77
0.03,71.72
0.03,71.72
0.07,63.77
0.04,76.11
0.18,37.83
0.44,47.66
0.06,55.22
0.06,55.22
0.44,47.66
0.14,69.58
0.08,71.8
0.06,68.29
0.67,35.98
0.67,35.98
0.06,68.29
0.55,34.22
2.23,31.87
1.85,30.41
0.08,83.28
0.08,83.28
1.85,30.41
0.07,79.47
0.1,53.86
0.08,51.03
0.16,46.56
0.16,46.56
0.08,51.03
0.13,44.11
0.4,33.05
0.43,33.76
0.22,38.57
0.22,38.57
0.43,33.76
0.24,39.41
0.11,67.02
0.12,68.28
0.09,73.38
0.09,73.38
0.12,68.28
0.1,74.76
0.17,49.08
0.1,43.12
1.77,28.0
1.77,28.0
0.1,43.12
1.06,24.6
0.03,65.33
0.06,77.63
0.07,47.24
0.07,47.24
0.06,77.63
0.13,56.13
0.33,29.94
0.77,37.09
0.03,67.15
0.03,67.15
0.77,37.09
0.07,83.18
0.09,61.99
0.07,57.23
0.16,51.02
0.16,51.02
0.07,57.23
0.11,47.11
0.24,51.83
0.18,48.12
0.11,69.14
0.11,69.14
0.18,48.12
0.08,64.19
0.04,70.23
0.03,64.44
0.33,34.81
0.33,34.81
0.03,64.44
0.24,31.94
0.26,40.16
0.26,39.91
0.96,29.59
0.96,29.59
0.26,39.91
0.93,29.4
0.11,76.04
0.1,75.61
0.17,63.92
0.17,63.92
0.1,75.61
0.16,63.56
2.09,29.05
1.14,24.92
0.28,45.8
0.28,45.8
1.14,24.92
0.15,39.29
0.08,49.37
0.14,56.8
0.04,63.83
0.04,63.83
0.14,56.8
0.07,73.45
0.1,47.28
0.1,46.94
0.09,49.6
0.09,49.6
0.1,46.94
0.09,49.25
0.06,83.16
0.06,82.65
2.7,28.69
2.7,28.69
0.06,82.65
2.63,28.52
0.65,42.99
0.37,37.35
0.12,76.35
0.12,76.35
0.37,37.35
0.07,66.33
0.07,64.26
0.12,73.06
0.3,40.1
0.3,40.1
0.12,73.06
0.5,45.59
0.78,29.82
1.01,31.84
0.16,45.09
0.16,45.09
1.01,31.84
0.2,48.14
0.15,63.79
0.06,51.02
0.08,81.34
0.08,81.34
0.06,51.02
0.03,65.05
0.25,45.85
0.32,48.73
0.71,34.64
0.71,34.64
0.32,48.73
0.91,36.81
0.04,63.3
0.05,67.92
0.06,53.64
0.06,53.64
0.05,67.92
0.07,57.55
0.12,40.57
0.26,49.33
0.12,39.86
0.12,39.86
0.26,49.33
0.27,48.47
0.06,74.54
0.04,67.56
0.06,73.72
0.06,73.72
0.04,67.56
0.04,66.82
1.01,35.8
1.2,37.34
1.14,34.92
1.14,34.92
1.2,37.34
1.35,36.43
0.08,56.6
0.09,59.4
0.08,55.83
0.08,55.83
0.09,59.4
0.1,58.6
0.31,38.9
0.21,35.13
0.07,64.54
0.07,64.54
0.21,35.13
0.05,58.28
0.12,74.78
0.08,68.45
0.58,43.62
0.58,43.62
0.08,68.45
0.41,39.93
0.16,55.89
0.11,50.83
0.06,83.38
0.06,83.38
0.11,50.83
0.04,75.84
0.03,72.86
0.07,87.98
0.1,47.61
0.1,47.61
0.07,87.98
0.2,57.49
0.8,26.34
0.98,27.72
0.33,31.68
0.33,31.68
0.98,27.72
0.41,33.34
0.13,58.39
0.15,61.04
0.1,64.58
0.1,64.58
0.15,61.04
0.12,67.5
0.38,47.51
0.15,37.32
0.25,54.12
0.25,54.12
0.15,37.32
0.1,42.51
0.06,67.36
0.07,70.63
0.05,73.12
0.05,73.12
0.07,70.63
0.05,76.67
0.12,46.13
0.25,55.52
0.05,64.17
0.05,64.17
0.25,55.52
0.1,77.24
0.07,82.01
0.05,74.71
0.36,45.18
0.36,45.18
0.05,74.71
0.25,41.16
0.48,36.21
0.57,37.91
0.12,55.63
0.12,55.63
0.57,37.91
0.14,58.24
0.04,54.14
0.06,57.1
0.79,24.65
0.79,24.65
0.06,57.1
0.98,25.99
0.89,24.3
1.82,29.13
0.05,54.01
0.05,54.01
1.82,29.13
0.09,64.75
0.12,55.27
0.07,49.03
0.5,35.97
0.5,35.97
0.07,49.03
0.31,31.91
0.37,44.76
0.41,45.97
0.07,81.83
0.07,81.83
0.41,45.97
0.08,84.04
0.05,63.88
0.06,65.87
0.12,45.94
0.12,45.94
0.06,65.87
0.14,47.37
0.15,46.81
0.09,41.33
0.23,41.2
0.23,41.2
0.09,41.33
0.14,36.37
0.08,83.53
0.05,75.0
0.1,77.09
0.1,77.09
0.05,75.0
0.06,69.22
0.64,36.3
0.4,32.34
1.55,30.26
1.55,30.26
0.4,32.34
0.98,26.96
0.06,55.42
0.11,66.01
0.07,50.21
0.07,50.21
0.11,66.01
0.15,59.81
0.15,41.13
0.17,42.45
0.04,66.53
0.04,66.53
0.17,42.45
0.05,68.67
0.07,75.92
0.08,78.03
0.25,48.5
0.25,48.5
0.08,78.03
0.28,49.84
1.4,35.58
0.51,27.52
0.16,66.92
0.16,66.92
0.51,27.52
0.06,51.77
0.1,57.57
0.11,59.28
0.72,31.99
0.72,31.99
0.11,59.28
0.81,32.94
0.31,36.35
0.6,42.92
0.28,37.22
0.28,37.22
0.6,42.92
0.55,43.94
0.11,71.14
0.07,63.78
0.1,72.14
0.1,72.14
0.07,63.78
0.07,64.68
0.15,52.79
0.17,54.31
0.15,53.72
0.15,53.72
0.17,54.31
0.16,55.27
0.03,69.04
0.03,71.35
0.03,69.85
0.03,69.85
0.03,71.35
0.03,72.18
0.08,47.43
0.19,58.48
1.19,24.33
1.19,24.33
0.19,58.48
2.74,30.01
0.05,82.72
0.04,76.48
0.14,55.92
0.14,55.92
0.04,76.48
0.1,51.7
0.47,44.04
0.35,40.93
0.44,44.98
0.44,44.98
0.35,40.93
0.33,41.81
0.06,64.12
0.04,58.92
0.06,64.94
0.06,64.94
0.04,58.92
0.04,59.68
0.66,33.09
0.65,32.87
0.05,74.03
0.05,74.03
0.65,32.87
0.05,73.54
0.16,68.37
0.15,67.98
0.3,54.08
0.3,54.08
0.15,67.98
0.3,53.76
0.25,49.77
0.14,42.82
0.12,65.01
0.12,65.01
0.14,42.82
0.06,55.93
0.04,67.94
0.07,77.93
0.44,31.51
0.44,31.51
0.07,77.93
0.76,36.15
0.3,33.14
0.3,32.91
0.1,46.13
0.1,46.13
0.3,32.91
0.1,45.81
0.1,66.51
0.1,66.11
0.06,81.54
0.06,81.54
0.1,66.11
0.06,81.05
0.24,55.99
0.14,48.55
0.64,41.98
0.64,41.98
0.14,48.55
0.36,36.4
0.05,75.11
0.08,85.58
0.07,62.88
0.07,62.88
0.08,85.58
0.12,71.64
0.19,40.76
0.25,43.58
0.08,54.27
0.08,54.27
0.25,43.58
0.11,58.01
0.09,76.04
0.04,60.62
1.35,33.36
1.35,33.36
0.04,60.62
0.55,26.6
1.21,30.25
1.55,32.19
0.06,71.97
0.06,71.97
1.55,32.19
0.08,76.59
0.06,49.37
0.08,53.05
0.13,38.48
0.13,38.48
0.08,53.05
0.18,41.35
0.17,35.31
0.18,35.77
0.31,30.29
0.31,30.29
0.18,35.77
0.32,30.68
0.07,68.2
0.07,68.97
0.09,62.35
0.09,62.35
0.07,68.97
0.09,63.06
2.62,29.52
1.57,25.94
0.23,52.25
0.23,52.25
1.57,25.94
0.14,45.91
0.1,50.8
0.17,59.14
0.04,70.54
0.04,70.54
0.17,59.14
0.07,82.11
0.55,33.13
0.75,35.95
0.06,66.68
0.06,66.68
0.75,35.95
0.08,72.34
0.14,67.94
0.06,55.62
0.43,46.49
0.43,46.49
0.06,55.62
0.19,38.06
0.22,49.58
0.29,53.5
0.14,57.54
0.14,57.54
0.29,53.5
0.19,62.09
0.04,67.03
0.05,73.17
1.05,25.48
1.05,25.48
0.05,73.17
1.48,27.81
0.71,28.25
1.49,34.07
0.15,41.38
0.15,41.38
1.49,34.07
0.32,49.91
0.13,61.14
0.09,55.64
0.07,76.31
0.07,76.31
0.09,55.64
0.05,69.45
0.38,50.02
0.27,45.81
1.42,35.78
1.42,35.78
0.27,45.81
1.0,32.77
0.06,70.34
0.04,63.57
0.1,57.89
0.1,57.89
0.04,63.57
0.06,52.31
0.12,48.58
0.11,47.35
0.06,62.22
0.06,62.22
0.11,47.35
0.06,60.64
0.07,85.29
0.06,83.41
0.55,42.03
0.55,42.03
0.06,83.41
0.5,41.1
0.46,38.42
0.23,32.18
0.05,80.64
0.05,80.64
0.23,32.18
0.03,67.55
0.05,56.82
0.08,64.42
0.09,45.71
0.09,45.71
0.08,64.42
0.14,51.83
0.21,34.21
0.32,38.13
0.06,49.68
0.06,49.68
0.32,38.13
0.1,55.37
0.08,67.11
0.11,73.72
1.22,30.44
1.22,30.44
0.11,73.72
1.77,33.44
0.19,57.18
0.09,47.49
0.09,76.42
0.09,76.42
0.09,47.49
0.04,63.46
0.04,75.11
0.06,83.07
0.2,41.01
0.2,41.01
0.06,83.07
0.29,45.36
0.19,44.98
0.28,49.58
0.14,49.15
0.14,49.15
0.28,49.58
0.21,54.17
0.09,81.7
0.04,68.29
0.08,86.47
0.08,86.47
0.04,68.29
0.04,72.27
0.94,34.1
0.8,32.74
0.55,38.57
0.55,38.57
0.8,32.74
0.47,37.03
0.07,53.95
0.06,51.45
0.06,57.81
0.06,57.81
0.06,51.45
0.05,55.13
0.1,43.92
0.18,50.62
0.03,71.68
0.03,71.68
0.18,50.62
0.05,82.61
0.06,78.72
0.03,67.41
0.15,55.32
0.15,55.32
0.03,67.41
0.08,47.37
0.74,39.57
0.72,39.35
0.11,73.98
0.11,73.98
0.72,39.35
0.1,73.56
0.07,60.36
0.07,59.97
0.28,38.57
0.28,38.57
0.07,59.97
0.27,38.32
1.0,26.97
0.97,26.79
0.5,30.91
0.5,30.91
0.97,26.79
0.49,30.7
0.15,59.86
0.15,59.51
0.12,64.41
0.12,64.41
0.15,59.51
0.12,64.03
0.26,42.46
0.25,42.2
0.19,46.7
0.19,46.7
0.25,42.2
0.19,46.41
0.03,59.43
0.11,78.74
0.03,63.06
0.03,63.06
0.11,78.74
0.09,83.56
0.21,32.63
0.28,34.93
0.13,37.01
0.13,37.01
0.28,34.93
0.18,39.62
0.08,64.92
0.1,68.84
0.06,70.03
0.06,70.03
0.1,68.84
0.08,74.25
0.19,55.15
0.14,50.93
1.56,31.83
1.56,31.83
0.14,50.93
1.14,29.4
0.04,72.78
0.08,88.66
0.08,52.56
0.08,52.56
0.08,88.66
0.18,64.03
0.19,43.18
0.24,45.88
0.07,61.06
0.07,61.06
0.24,45.88
0.09,64.88
0.09,79.29
0.04,63.22
0.69,40.33
0.69,40.33
0.04,63.22
0.28,32.15
1.04,32.45
1.3,34.34
0.06,79.48
0.06,79.48
1.3,34.34
0.07,84.11
0.06,51.99
0.08,55.5
0.1,44.55
0.1,44.55
0.08,55.5
0.13,47.56
0.12,43.88
0.24,51.92
0.23,36.29
0.23,36.29
0.24,51.92
0.44,42.94
0.07,79.04
0.04,70.22
0.09,70.26
0.09,70.26
0.04,70.22
0.05,62.42
0.9,39.05
0.58,34.97
0.21,59.9
0.21,59.9
0.58,34.97
0.13,53.64
0.08,60.5
0.05,53.26
0.04,78.72
0.04,78.72
0.05,53.26
0.03,69.3
1.35,26.51
1.49,27.2
0.05,69.51
0.05,69.51
1.49,27.2
0.05,71.32
0.17,59.76
0.18,61.12
0.27,50.69
0.27,50.69
0.18,61.12
0.3,51.84
