span,depth,max_def,weight
3.064,0.374,0.27,31.59
3.064,0.374,0.27,31.59
3.885,0.764,0.16,63.24
3.885,0.374,0.7,40.06
3.095,0.295,0.49,28.17
3.042,0.295,0.46,27.69
3.095,1.031,0.04,63.02
3.095,1.031,0.04,63.02
3.042,0.295,0.46,27.69
3.042,1.031,0.03,61.94
3.595,0.795,0.11,60.22
3.542,0.795,0.1,59.33
3.595,0.531,0.24,45.7
3.595,0.531,0.24,45.7
3.542,0.795,0.1,59.33
3.542,0.531,0.23,45.03
3.845,0.545,0.3,49.7
3.292,0.545,0.16,42.56
3.845,0.781,0.15,63.59
3.845,0.781,0.15,63.59
3.292,0.545,0.16,42.56
3.292,0.781,0.08,54.44
3.345,1.045,0.05,68.83
3.792,1.045,0.08,78.03
3.345,0.281,0.76,29.73
3.345,0.281,0.76,29.73
3.792,1.045,0.08,78.03
3.792,0.281,1.24,33.7
3.47,0.67,0.13,51.49
3.667,0.67,0.16,54.42
3.47,0.406,0.37,37.48
3.47,0.406,0.37,37.48
3.667,0.67,0.16,54.42
3.667,0.406,0.47,39.61
3.97,1.17,0.08,89.28
3.167,1.17,0.03,71.22
3.97,0.906,0.12,73.25
3.97,0.906,0.12,73.25
3.167,1.17,0.03,71.22
3.167,0.906,0.05,58.43
3.72,0.42,0.46,40.98
3.917,0.42,0.56,43.15
3.72,0.656,0.18,54.41
3.72,0.656,0.18,54.41
3.917,0.42,0.56,43.15
3.917,0.656,0.22,57.29
3.22,0.92,0.05,60.1
3.417,0.92,0.07,63.77
3.22,1.156,0.03,71.72
3.22,1.156,0.03,71.72
3.417,0.92,0.07,63.77
3.417,1.156,0.04,76.11
3.158,0.483,0.18,37.83
3.979,0.483,0.44,47.66
3.158,0.843,0.06,55.22
3.158,0.843,0.06,55.22
3.979,0.483,0.44,47.66
3.979,0.843,0.14,69.58
3.658,0.983,0.08,71.8
3.479,0.983,0.06,68.29
3.658,0.343,0.67,35.98
3.658,0.343,0.67,35.98
3.479,0.983,0.06,68.29
3.479,0.343,0.55,34.22
3.908,0.233,2.23,31.87
3.729,0.233,1.85,30.41
3.908,1.093,0.08,83.28
3.908,1.093,0.08,83.28
3.729,0.233,1.85,30.41
3.729,1.093,0.07,79.47
3.408,0.733,0.1,53.86
3.229,0.733,0.08,51.03
3.408,0.593,0.16,46.56
3.408,0.593,0.16,46.56
3.229,0.733,0.08,51.03
3.229,0.593,0.13,44.11
3.283,0.358,0.4,33.05
3.354,0.358,0.43,33.76
3.283,0.468,0.22,38.57
3.283,0.468,0.22,38.57
3.354,0.358,0.43,33.76
3.354,0.468,0.24,39.41
3.783,0.858,0.11,67.02
3.854,0.858,0.12,68.28
3.783,0.968,0.09,73.38
3.783,0.968,0.09,73.38
3.854,0.858,0.12,68.28
3.854,0.968,0.1,74.76
3.533,0.608,0.17,49.08
3.104,0.608,0.1,43.12
3.533,0.218,1.77,28
3.533,0.218,1.77,28
3.104,0.608,0.1,43.12
3.104,0.218,1.06,24.6
3.033,1.108,0.03,65.33
3.604,1.108,0.06,77.63
3.033,0.718,0.07,47.24
3.033,0.718,0.07,47.24
3.604,1.108,0.06,77.63
3.604,0.718,0.13,56.13
3.048,0.342,0.33,29.94
3.776,0.342,0.77,37.09
3.048,1.14,0.03,67.15
3.048,1.14,0.03,67.15
3.776,0.342,0.77,37.09
3.776,1.14,0.07,83.18
3.548,0.842,0.09,61.99
3.276,0.842,0.07,57.23
3.548,0.64,0.16,51.02
3.548,0.64,0.16,51.02
3.276,0.842,0.07,57.23
3.276,0.64,0.11,47.11
3.798,0.592,0.24,51.83
3.526,0.592,0.18,48.12
3.798,0.89,0.11,69.14
3.798,0.89,0.11,69.14
3.526,0.592,0.18,48.12
3.526,0.89,0.08,64.19
3.298,1.092,0.04,70.23
3.026,1.092,0.03,64.44
3.298,0.39,0.33,34.81
3.298,0.39,0.33,34.81
3.026,1.092,0.03,64.44
3.026,0.39,0.24,31.94
3.423,0.467,0.26,40.16
3.401,0.467,0.26,39.91
3.423,0.265,0.96,29.59
3.423,0.265,0.96,29.59
3.401,0.467,0.26,39.91
3.401,0.265,0.93,29.4
3.923,0.967,0.11,76.04
3.901,0.967,0.1,75.61
3.923,0.765,0.17,63.92
3.923,0.765,0.17,63.92
3.901,0.967,0.1,75.61
3.901,0.765,0.16,63.56
3.673,0.217,2.09,29.05
3.151,0.217,1.14,24.92
3.673,0.515,0.28,45.8
3.673,0.515,0.28,45.8
3.151,0.217,1.14,24.92
3.151,0.515,0.15,39.29
3.173,0.717,0.08,49.37
3.651,0.717,0.14,56.8
3.173,1.015,0.04,63.83
3.173,1.015,0.04,63.83
3.651,0.717,0.14,56.8
3.651,1.015,0.07,73.45
3.236,0.655,0.1,47.28
3.213,0.655,0.1,46.94
3.236,0.702,0.09,49.6
3.236,0.702,0.09,49.6
3.213,0.655,0.1,46.94
3.213,0.702,0.09,49.25
3.736,1.155,0.06,83.16
3.713,1.155,0.06,82.65
3.736,0.202,2.7,28.69
3.736,0.202,2.7,28.69
3.713,1.155,0.06,82.65
3.713,0.202,2.63,28.52
3.986,0.405,0.65,42.99
3.463,0.405,0.37,37.35
3.986,0.952,0.12,76.35
3.986,0.952,0.12,76.35
3.463,0.405,0.37,37.35
3.463,0.952,0.07,66.33
3.486,0.905,0.07,64.26
3.963,0.905,0.12,73.06
3.486,0.452,0.3,40.1
3.486,0.452,0.3,40.1
3.963,0.905,0.12,73.06
3.963,0.452,0.5,45.59
3.361,0.28,0.78,29.82
3.588,0.28,1.01,31.84
3.361,0.577,0.16,45.09
3.361,0.577,0.16,45.09
3.588,0.28,1.01,31.84
3.588,0.577,0.2,48.14
3.861,0.78,0.15,63.79
3.088,0.78,0.06,51.02
3.861,1.077,0.08,81.34
3.861,1.077,0.08,81.34
3.088,0.78,0.06,51.02
3.088,1.077,0.03,65.05
3.611,0.53,0.25,45.85
3.838,0.53,0.32,48.73
3.611,0.327,0.71,34.64
3.611,0.327,0.71,34.64
3.838,0.53,0.32,48.73
3.838,0.327,0.91,36.81
3.111,1.03,0.04,63.3
3.338,1.03,0.05,67.92
3.111,0.827,0.06,53.64
3.111,0.827,0.06,53.64
3.338,1.03,0.05,67.92
3.338,0.827,0.07,57.55
3.08,0.561,0.12,40.57
3.745,0.561,0.26,49.33
3.08,0.546,0.12,39.86
3.08,0.546,0.12,39.86
3.745,0.561,0.26,49.33
3.745,0.546,0.27,48.47
3.58,1.061,0.06,74.54
3.245,1.061,0.04,67.56
3.58,1.046,0.06,73.72
3.58,1.046,0.06,73.72
3.245,1.061,0.04,67.56
3.245,1.046,0.04,66.82
3.83,0.311,1.01,35.8
3.995,0.311,1.2,37.34
3.83,0.296,1.14,34.92
3.83,0.296,1.14,34.92
3.995,0.311,1.2,37.34
3.995,0.296,1.35,36.43
3.33,0.811,0.08,56.6
3.495,0.811,0.09,59.4
3.33,0.796,0.08,55.83
3.33,0.796,0.08,55.83
3.495,0.811,0.09,59.4
3.495,0.796,0.1,58.6
3.455,0.436,0.31,38.9
3.12,0.436,0.21,35.13
3.455,0.921,0.07,64.54
3.455,0.921,0.07,64.54
3.12,0.436,0.21,35.13
3.12,0.921,0.05,58.28
3.955,0.936,0.12,74.78
3.62,0.936,0.08,68.45
3.955,0.421,0.58,43.62
3.955,0.421,0.58,43.62
3.62,0.936,0.08,68.45
3.62,0.421,0.41,39.93
3.705,0.686,0.16,55.89
3.37,0.686,0.11,50.83
3.705,1.171,0.06,83.38
3.705,1.171,0.06,83.38
3.37,0.686,0.11,50.83
3.37,1.171,0.04,75.84
3.205,1.186,0.03,72.86
3.87,1.186,0.07,87.98
3.205,0.671,0.1,47.61
3.205,0.671,0.1,47.61
3.87,1.186,0.07,87.98
3.87,0.671,0.2,57.49
3.142,0.248,0.8,26.34
3.307,0.248,0.98,27.72
3.142,0.359,0.33,31.68
3.142,0.359,0.33,31.68
3.307,0.248,0.98,27.72
3.307,0.359,0.41,33.34
3.642,0.748,0.13,58.39
3.807,0.748,0.15,61.04
3.642,0.859,0.1,64.58
3.642,0.859,0.1,64.58
3.807,0.748,0.15,61.04
3.807,0.859,0.12,67.5
3.892,0.498,0.38,47.51
3.057,0.498,0.15,37.32
3.892,0.609,0.25,54.12
3.892,0.609,0.25,54.12
3.057,0.498,0.15,37.32
3.057,0.609,0.1,42.51
3.392,0.998,0.06,67.36
3.557,0.998,0.07,70.63
3.392,1.109,0.05,73.12
3.392,1.109,0.05,73.12
3.557,0.998,0.07,70.63
3.557,1.109,0.05,76.67
3.267,0.623,0.12,46.13
3.932,0.623,0.25,55.52
3.267,0.984,0.05,64.17
3.267,0.984,0.05,64.17
3.932,0.623,0.25,55.52
3.932,0.984,0.1,77.24
3.767,1.123,0.07,82.01
3.432,1.123,0.05,74.71
3.767,0.484,0.36,45.18
3.767,0.484,0.36,45.18
3.432,1.123,0.05,74.71
3.432,0.484,0.25,41.16
3.517,0.373,0.48,36.21
3.682,0.373,0.57,37.91
3.517,0.734,0.12,55.63
3.517,0.734,0.12,55.63
3.682,0.373,0.57,37.91
3.682,0.734,0.14,58.24
3.017,0.873,0.04,54.14
3.182,0.873,0.06,57.1
3.017,0.234,0.79,24.65
3.017,0.234,0.79,24.65
3.182,0.873,0.06,57.1
3.182,0.234,0.98,25.99
3.025,0.225,0.89,24.3
3.627,0.225,1.82,29.13
3.025,0.867,0.05,54.01
3.025,0.867,0.05,54.01
3.627,0.225,1.82,29.13
3.627,0.867,0.09,64.75
3.525,0.725,0.12,55.27
3.127,0.725,0.07,49.03
3.525,0.367,0.5,35.97
3.525,0.367,0.5,35.97
3.127,0.725,0.07,49.03
3.127,0.367,0.31,31.91
3.775,0.475,0.37,44.76
3.877,0.475,0.41,45.97
3.775,1.117,0.07,81.83
3.775,1.117,0.07,81.83
3.877,0.475,0.41,45.97
3.877,1.117,0.08,84.04
3.275,0.975,0.05,63.88
3.377,0.975,0.06,65.87
3.275,0.617,0.12,45.94
3.275,0.617,0.12,45.94
3.377,0.975,0.06,65.87
3.377,0.617,0.14,47.37
3.4,0.6,0.15,46.81
3.002,0.6,0.09,41.33
3.4,0.492,0.23,41.2
3.4,0.492,0.23,41.2
3.002,0.6,0.09,41.33
3.002,0.492,0.14,36.37
3.9,1.1,0.08,83.53
3.502,1.1,0.05,75
3.9,0.992,0.1,77.09
3.9,0.992,0.1,77.09
3.502,1.1,0.05,75
3.502,0.992,0.06,69.22
3.65,0.35,0.64,36.3
3.252,0.35,0.4,32.34
3.65,0.242,1.55,30.26
3.65,0.242,1.55,30.26
3.252,0.35,0.4,32.34
3.252,0.242,0.98,26.96
3.15,0.85,0.06,55.42
3.752,0.85,0.11,66.01
3.15,0.742,0.07,50.21
3.15,0.742,0.07,50.21
3.752,0.85,0.11,66.01
3.752,0.742,0.15,59.81
3.212,0.537,0.15,41.13
3.315,0.537,0.17,42.45
3.212,1.054,0.04,66.53
3.212,1.054,0.04,66.53
3.315,0.537,0.17,42.45
3.315,1.054,0.05,68.67
3.712,1.037,0.07,75.92
3.815,1.037,0.08,78.03
3.712,0.554,0.25,48.5
3.712,0.554,0.25,48.5
3.815,1.037,0.08,78.03
3.815,0.554,0.28,49.84
3.962,0.287,1.4,35.58
3.065,0.287,0.51,27.52
3.962,0.804,0.16,66.92
3.962,0.804,0.16,66.92
3.065,0.287,0.51,27.52
3.065,0.804,0.06,51.77
3.462,0.787,0.1,57.57
3.565,0.787,0.11,59.28
3.462,0.304,0.72,31.99
3.462,0.304,0.72,31.99
3.565,0.787,0.11,59.28
3.565,0.304,0.81,32.94
3.337,0.412,0.31,36.35
3.94,0.412,0.6,42.92
3.337,0.429,0.28,37.22
3.337,0.429,0.28,37.22
3.94,0.412,0.6,42.92
3.94,0.429,0.55,43.94
3.837,0.912,0.11,71.14
3.44,0.912,0.07,63.78
3.837,0.929,0.1,72.14
3.837,0.929,0.1,72.14
3.44,0.912,0.07,63.78
3.44,0.929,0.07,64.68
3.587,0.662,0.15,52.79
3.69,0.662,0.17,54.31
3.587,0.679,0.15,53.72
3.587,0.679,0.15,53.72
3.69,0.662,0.17,54.31
3.69,0.679,0.16,55.27
3.087,1.162,0.03,69.04
3.19,1.162,0.03,71.35
3.087,1.179,0.03,69.85
3.087,1.179,0.03,69.85
3.19,1.162,0.03,71.35
3.19,1.179,0.03,72.18
3.119,0.694,0.08,47.43
3.846,0.694,0.19,58.48
3.119,0.21,1.19,24.33
3.119,0.21,1.19,24.33
3.846,0.694,0.19,58.48
3.846,0.21,2.74,30.01
3.619,1.194,0.05,82.72
3.346,1.194,0.04,76.48
3.619,0.71,0.14,55.92
3.619,0.71,0.14,55.92
3.346,1.194,0.04,76.48
3.346,0.71,0.1,51.7
3.869,0.444,0.47,44.04
3.596,0.444,0.35,40.93
3.869,0.46,0.44,44.98
3.869,0.46,0.44,44.98
3.596,0.444,0.35,40.93
3.596,0.46,0.33,41.81
3.369,0.944,0.06,64.12
3.096,0.944,0.04,58.92
3.369,0.96,0.06,64.94
3.369,0.96,0.06,64.94
3.096,0.944,0.04,58.92
3.096,0.96,0.04,59.68
3.494,0.319,0.66,33.09
3.471,0.319,0.65,32.87
3.494,1.085,0.05,74.03
3.494,1.085,0.05,74.03
3.471,0.319,0.65,32.87
3.471,1.085,0.05,73.54
3.994,0.819,0.16,68.37
3.971,0.819,0.15,67.98
3.994,0.585,0.3,54.08
3.994,0.585,0.3,54.08
3.971,0.819,0.15,67.98
3.971,0.585,0.3,53.76
3.744,0.569,0.25,49.77
3.221,0.569,0.14,42.82
3.744,0.835,0.12,65.01
3.744,0.835,0.12,65.01
3.221,0.569,0.14,42.82
3.221,0.835,0.06,55.93
3.244,1.069,0.04,67.94
3.721,1.069,0.07,77.93
3.244,0.335,0.44,31.51
3.244,0.335,0.44,31.51
3.721,1.069,0.07,77.93
3.721,0.335,0.76,36.15
3.181,0.381,0.3,33.14
3.159,0.381,0.3,32.91
3.181,0.648,0.1,46.13
3.181,0.648,0.1,46.13
3.159,0.381,0.3,32.91
3.159,0.648,0.1,45.81
3.681,0.881,0.1,66.51
3.659,0.881,0.1,66.11
3.681,1.148,0.06,81.54
3.681,1.148,0.06,81.54
3.659,0.881,0.1,66.11
3.659,1.148,0.06,81.05
3.931,0.631,0.24,55.99
3.409,0.631,0.14,48.55
3.931,0.398,0.64,41.98
3.931,0.398,0.64,41.98
3.409,0.631,0.14,48.55
3.409,0.398,0.36,36.4
3.431,1.131,0.05,75.11
3.909,1.131,0.08,85.58
3.431,0.898,0.07,62.88
3.431,0.898,0.07,62.88
3.909,1.131,0.08,85.58
3.909,0.898,0.12,71.64
3.306,0.506,0.19,40.76
3.534,0.506,0.25,43.58
3.306,0.773,0.08,54.27
3.306,0.773,0.08,54.27
3.534,0.506,0.25,43.58
3.534,0.773,0.11,58.01
3.806,1.006,0.09,76.04
3.034,1.006,0.04,60.62
3.806,0.273,1.35,33.36
3.806,0.273,1.35,33.36
3.034,1.006,0.04,60.62
3.034,0.273,0.55,26.6
3.556,0.256,1.21,30.25
3.784,0.256,1.55,32.19
3.556,1.023,0.06,71.97
3.556,1.023,0.06,71.97
3.784,0.256,1.55,32.19
3.784,1.023,0.08,76.59
3.056,0.756,0.06,49.37
3.284,0.756,0.08,53.05
3.056,0.523,0.13,38.48
3.056,0.523,0.13,38.48
3.284,0.756,0.08,53.05
3.284,0.523,0.18,41.35
3.041,0.459,0.17,35.31
3.081,0.459,0.18,35.77
3.041,0.351,0.31,30.29
3.041,0.351,0.31,30.29
3.081,0.459,0.18,35.77
3.081,0.351,0.32,30.68
3.541,0.959,0.07,68.2
3.581,0.959,0.07,68.97
3.541,0.851,0.09,62.35
3.541,0.851,0.09,62.35
3.581,0.959,0.07,68.97
3.581,0.851,0.09,63.06
3.791,0.209,2.62,29.52
3.331,0.209,1.57,25.94
3.791,0.601,0.23,52.25
3.791,0.601,0.23,52.25
3.331,0.209,1.57,25.94
3.331,0.601,0.14,45.91
3.291,0.709,0.1,50.8
3.831,0.709,0.17,59.14
3.291,1.101,0.04,70.54
3.291,1.101,0.04,70.54
3.831,0.709,0.17,59.14
3.831,1.101,0.07,82.11
3.416,0.334,0.55,33.13
3.706,0.334,0.75,35.95
3.416,0.976,0.06,66.68
3.416,0.976,0.06,66.68
3.706,0.334,0.75,35.95
3.706,0.976,0.08,72.34
3.916,0.834,0.14,67.94
3.206,0.834,0.06,55.62
3.916,0.476,0.43,46.49
3.916,0.476,0.43,46.49
3.206,0.834,0.06,55.62
3.206,0.476,0.19,38.06
3.666,0.584,0.22,49.58
3.956,0.584,0.29,53.5
3.666,0.726,0.14,57.54
3.666,0.726,0.14,57.54
3.956,0.584,0.29,53.5
3.956,0.726,0.19,62.09
3.166,1.084,0.04,67.03
3.456,1.084,0.05,73.17
3.166,0.226,1.05,25.48
3.166,0.226,1.05,25.48
3.456,1.084,0.05,73.17
3.456,0.226,1.48,27.81
3.228,0.272,0.71,28.25
3.893,0.272,1.49,34.07
3.228,0.538,0.15,41.38
3.228,0.538,0.15,41.38
3.893,0.272,1.49,34.07
3.893,0.538,0.32,49.91
3.728,0.772,0.13,61.14
3.393,0.772,0.09,55.64
3.728,1.038,0.07,76.31
3.728,1.038,0.07,76.31
3.393,0.772,0.09,55.64
3.393,1.038,0.05,69.45
3.978,0.522,0.38,50.02
3.643,0.522,0.27,45.81
3.978,0.288,1.42,35.78
3.978,0.288,1.42,35.78
3.643,0.522,0.27,45.81
3.643,0.288,1,32.77
3.478,1.022,0.06,70.34
3.143,1.022,0.04,63.57
3.478,0.788,0.1,57.89
3.478,0.788,0.1,57.89
3.143,1.022,0.04,63.57
3.143,0.788,0.06,52.31
3.353,0.647,0.12,48.58
3.268,0.647,0.11,47.35
3.353,0.913,0.06,62.22
3.353,0.913,0.06,62.22
3.268,0.647,0.11,47.35
3.268,0.913,0.06,60.64
3.853,1.147,0.07,85.29
3.768,1.147,0.06,83.41
3.853,0.413,0.55,42.03
3.853,0.413,0.55,42.03
3.768,1.147,0.06,83.41
3.768,0.413,0.5,41.1
3.603,0.397,0.46,38.42
3.018,0.397,0.23,32.18
3.603,1.163,0.05,80.64
3.603,1.163,0.05,80.64
3.018,0.397,0.23,32.18
3.018,1.163,0.03,67.55
3.103,0.897,0.05,56.82
3.518,0.897,0.08,64.42
3.103,0.663,0.09,45.71
3.103,0.663,0.09,45.71
3.518,0.897,0.08,64.42
3.518,0.663,0.14,51.83
3.072,0.428,0.21,34.21
3.424,0.428,0.32,38.13
3.072,0.757,0.06,49.68
3.072,0.757,0.06,49.68
3.424,0.428,0.32,38.13
3.424,0.757,0.1,55.37
3.572,0.928,0.08,67.11
3.924,0.928,0.11,73.72
3.572,0.257,1.22,30.44
3.572,0.257,1.22,30.44
3.924,0.928,0.11,73.72
3.924,0.257,1.77,33.44
3.822,0.678,0.19,57.18
3.174,0.678,0.09,47.49
3.822,1.007,0.09,76.42
3.822,1.007,0.09,76.42
3.174,0.678,0.09,47.49
3.174,1.007,0.04,63.46
3.322,1.178,0.04,75.11
3.674,1.178,0.06,83.07
3.322,0.507,0.2,41.01
3.322,0.507,0.2,41.01
3.674,1.178,0.06,83.07
3.674,0.507,0.29,45.36
3.447,0.553,0.19,44.98
3.799,0.553,0.28,49.58
3.447,0.632,0.14,49.15
3.447,0.632,0.14,49.15
3.799,0.553,0.28,49.58
3.799,0.632,0.21,54.17
3.947,1.053,0.09,81.7
3.299,1.053,0.04,68.29
3.947,1.132,0.08,86.47
3.947,1.132,0.08,86.47
3.299,1.053,0.04,68.29
3.299,1.132,0.04,72.27
3.697,0.303,0.94,34.1
3.549,0.303,0.8,32.74
3.697,0.382,0.55,38.57
3.697,0.382,0.55,38.57
3.549,0.303,0.8,32.74
3.549,0.382,0.47,37.03
3.197,0.803,0.07,53.95
3.049,0.803,0.06,51.45
3.197,0.882,0.06,57.81
3.197,0.882,0.06,57.81
3.049,0.803,0.06,51.45
3.049,0.882,0.05,55.13
3.134,0.616,0.1,43.92
3.612,0.616,0.18,50.62
3.134,1.195,0.03,71.68
3.134,1.195,0.03,71.68
3.612,0.616,0.18,50.62
3.612,1.195,0.05,82.61
3.634,1.116,0.06,78.72
3.112,1.116,0.03,67.41
3.634,0.695,0.15,55.32
3.634,0.695,0.15,55.32
