"EDV,lv","EDP,lv","ESV,lv","pMax,lv","dp/dtMax,lv","dp/dtMin,lv","EDV,rv","EDP,rv","ESV,rv","pMax,rv","dp/dtMax,rv","dp/dtMin,rv","EDV,la","ESV,la","VMax,la","pMax,La","EDV,ra","ESV,ra","VMax,ra","pMax,ra"
136.05,5.93,81.85,117.31,1801.0,-826.0,136.48,3.43,86.45,24.51,334.0,-131.0,181.69,149.9,196.63,5.51,154.94,122.84,167.76,3.95
123.34,3.45,86.94,98.84,1825.0,-667.0,133.56,3.44,102.53,29.92,526.0,-159.0,153.62,134.74,162.06,3.23,154.06,122.53,159.78,3.97
167.34,6.2,128.21,93.43,1279.0,-540.0,114.46,3.41,78.96,23.97,376.0,-133.0,178.28,136.29,178.38,6.73,149.5,118.06,156.72,4.38
154.93,5.99,101.75,100.26,1535.0,-596.0,129.64,3.05,79.19,22.19,251.0,-103.0,176.36,149.8,193.7,6.25,152.25,122.04,156.11,3.41
166.9,7.43,130.18,118.84,1492.0,-623.0,118.19,2.53,81.97,20.19,269.0,-109.0,189.6,152.08,190.4,7.22,144.23,121.33,147.07,2.72
149.53,5.44,89.81,90.06,1255.0,-531.0,126.7,4.4,72.49,25.58,273.0,-118.0,169.33,135.19,182.72,5.32,165.25,118.5,167.73,5.51
142.38,6.41,100.87,120.46,1666.0,-767.0,113.39,3.35,74.0,27.11,416.0,-163.0,169.35,140.95,178.91,6.36,151.59,117.84,153.21,4.32
120.59,3.64,71.19,65.03,948.0,-421.0,155.2,4.39,109.26,30.5,472.0,-181.0,155.01,140.96,169.91,2.97,157.12,128.79,164.35,4.3
141.75,6.36,95.88,109.48,1646.0,-678.0,123.13,3.38,80.47,23.46,334.0,-140.0,176.99,140.62,182.18,6.06,148.59,118.47,156.35,4.05
158.16,5.57,109.52,123.89,1925.0,-728.0,120.9,3.19,76.55,30.71,556.0,-171.0,171.52,138.23,180.37,4.79,153.1,119.18,157.69,3.38
147.73,6.84,93.45,89.75,1220.0,-581.0,130.64,4.29,82.64,21.36,247.0,-114.0,176.26,144.0,188.87,5.39,163.2,122.3,165.79,4.29
138.62,4.68,94.68,101.42,1294.0,-656.0,142.26,3.04,101.92,28.79,468.0,-168.0,181.5,140.76,181.3,3.76,154.66,122.32,161.61,3.19
144.64,7.07,99.31,111.79,1777.0,-714.0,128.6,4.29,87.65,24.4,312.0,-125.0,163.36,130.27,170.38,5.64,149.35,113.91,152.87,4.34
170.69,6.51,115.64,98.1,1449.0,-603.0,110.62,3.92,60.21,23.14,218.0,-101.0,189.21,150.5,203.32,6.63,162.52,117.37,167.24,4.86
152.51,6.87,112.19,120.73,1804.0,-668.0,128.16,4.1,92.05,28.7,522.0,-148.0,167.61,132.9,169.22,4.68,145.26,117.26,153.91,3.57
