"a,v","bf,v","bft,v","bt,v","a,a","bf,a","bft,a","bt,a",kperi
3.02232,26.9064,9.16162,6.11543,5.58443,19.5736,1.50167,1.63024,0.00338577
1.82741,6.94722,8.18676,6.64697,3.06794,7.99169,8.28768,11.8732,0.00342313
6.37232,2.91522,4.65417,2.51519,5.3642,28.2212,3.22337,10.2579,0.00101516
5.76975,24.1271,9.36532,7.05279,3.4226,17.7539,1.26036,9.52244,0.00113277
3.3099,9.33354,4.49983,5.13762,5.33159,12.0693,5.07015,2.3367,0.00224267
2.33253,31.5811,1.57384,4.75006,4.34192,17.5457,3.66803,11.2703,0.000504184
2.63349,8.87734,8.09184,5.60094,0.611847,7.20554,3.40581,10.6626,0.00303862
4.99568,22.3097,13.0984,7.74605,2.12833,13.0687,11.4032,3.85675,0.000542604
2.39053,19.7486,5.51061,4.88804,4.03724,31.0761,4.62663,3.47036,0.00301175
6.54452,15.8715,3.84741,4.66285,3.25208,30.6465,10.0958,8.50173,0.00325489
5.62746,17.8935,3.65428,6.53735,2.50584,5.47013,5.34116,1.84971,0.00314261
6.46671,17.4076,15.9675,10.9084,6.68737,12.3707,13.1004,1.77502,0.002728
4.58617,18.3597,2.61811,1.04848,2.55628,6.94272,9.41153,2.14301,0.00362617
5.56185,11.7206,12.9099,5.22157,0.935816,20.695,6.76275,6.79229,0.00297657
6.67708,25.4302,12.4114,9.2936,1.66094,9.26931,10.366,8.04659,0.00119917
4.93867,13.1777,15.6088,9.64349,4.64495,10.4287,15.4171,10.4192,0.0037602
6.48273,26.0091,15.3405,5.25345,2.34964,16.5229,6.65553,7.52938,0.00274832
4.91097,18.7679,11.8967,11.8728,0.82625,21.0246,11.7888,0.759888,0.000932035
0.784825,26.3412,6.19965,4.38964,3.89501,24.1876,6.31248,8.97879,0.00131591
4.79871,16.5827,11.2323,8.74639,6.58804,27.8195,11.2688,4.16737,0.000654346
4.34001,25.1609,10.9252,7.24897,5.17368,25.0738,1.78315,3.67187,0.00290989
6.16358,19.6562,1.9338,9.09182,4.56264,10.2369,9.12768,10.1891,0.00261295
0.632031,12.5887,7.96293,4.54798,6.32485,29.742,5.16537,11.1176,0.00216038
3.42926,5.51378,11.2661,5.09737,1.29047,4.05565,11.0441,3.31562,0.00107207
1.35009,13.5381,5.7074,1.74506,4.48098,3.64671,3.5574,5.86163,0.00173054
4.20268,4.9922,7.14928,11.7356,3.08851,27.1098,13.5713,5.67035,0.00385609
1.23263,10.5588,12.4614,7.61669,5.79804,24.5893,2.23727,2.6198,0.000710543
5.52726,12.8073,3.35211,3.41632,3.70645,20.5753,4.8476,3.15182,0.00227766
1.84419,5.03126,15.1081,4.95929,2.83622,18.2401,9.87366,4.52172,0.000297202
4.27217,27.8364,13.029,11.7775,3.15905,16.8582,5.64525,9.29468,0.00149359
3.15259,12.2112,11.6793,1.48522,1.76914,4.21455,14.3805,3.96742,0.00151186
5.79669,13.6997,5.93182,7.65551,1.66849,16.1398,15.6614,5.31779,0.00235311
5.82645,9.55444,9.33304,6.73711,4.30331,9.11822,8.67571,7.06363,0.00371946
6.59748,11.5569,5.38944,7.4132,2.98059,17.9529,11.8571,7.97058,0.00171737
1.1891,23.7924,10.4655,10.3056,5.9646,17.0866,6.22038,2.51544,0.00176813
3.90535,25.873,5.07243,6.05319,0.850318,14.8589,11.4744,10.3244,0.000894128
1.46869,8.64018,7.49947,9.15221,1.07783,19.1837,4.32859,10.9549,0.000278137
2.07028,19.379,11.0063,1.61745,2.74966,15.9006,1.947,1.52212,0.00383221
2.00542,10.8446,15.8532,9.40633,5.04704,12.6897,5.67778,10.6039,0.00241148
2.75459,25.833,4.36721,3.0038,6.53276,16.4601,1.37936,10.4709,0.00165738
5.91353,4.55446,10.7532,3.28416,5.06965,30.4025,2.51257,2.73758,0.000444673
1.05566,3.2552,3.70114,11.0017,2.30604,6.03087,2.60655,5.80032,0.0016794
6.74864,29.5807,6.74297,9.73038,4.27327,7.44157,1.66379,4.68151,0.00116705
2.85549,30.5331,1.27379,5.0032,5.42372,21.7041,8.78169,3.411,0.000413997
1.27231,5.4144,6.16053,9.79801,5.26393,26.8722,11.6918,1.73485,0.000678303
6.3123,13.4408,13.1723,8.87567,2.12498,29.3783,15.5601,2.49014,0.00262932
3.14254,23.1495,6.01998,6.94254,1.9182,11.3439,10.6923,7.24364,0.00192459
4.74143,22.7518,8.33248,8.47866,1.00243,22.8791,5.90587,7.03067,0.00060279
0.513278,30.0286,14.2146,1.55491,1.04001,13.3915,8.10718,11.0103,0.00277258
3.24273,15.6907,10.3522,2.69201,4.19248,10.7542,9.17833,9.44664,0.00321604
6.06307,10.0455,4.1175,10.4642,6.20682,7.52821,2.28215,4.22914,0.00252947
5.96813,31.4533,14.9784,9.54489,1.32191,3.87765,11.2354,6.20961,0.0012968
2.70945,2.52978,1.41913,4.27406,4.59425,14.1452,14.1931,11.3915,0.00096421
0.42858,24.2215,12.1805,9.87246,5.82805,16.7539,10.9733,11.5593,0.00200033
3.46521,24.9735,10.1922,10.0862,4.73918,19.119,3.13016,8.39233,0.00319046
3.34374,15.0371,7.53251,6.91596,6.69855,11.0614,8.87288,9.93891,0.0023747
5.40946,3.13627,1.78833,2.6735,5.29086,2.55131,7.70895,8.91659,0.0017948
0.686823,29.8252,1.3692,1.18139,5.1367,10.9915,1.03197,4.39497,0.002227
0.480508,2.80513,6.26936,6.25067,2.38564,22.1198,10.3097,1.12678,0.00137882
1.38919,7.19795,12.0194,1.98163,3.5576,22.5193,6.72326,6.07179,0.00191385
6.79602,19.0335,11.533,3.22922,2.8231,24.7532,6.57444,4.26088,0.00121029
4.21966,14.4776,4.80054,4.47959,2.71845,26.1241,8.92313,1.42981,0.000327161
3.60291,25.1868,3.24443,5.39667,4.79808,21.2981,2.7368,4.72771,0.000530656
5.925,10.758,10.5893,9.00031,1.16945,9.65208,1.17012,6.1627,0.0038464
3.86779,10.3897,7.6479,4.3748,0.725978,5.95625,2.83895,7.46594,0.0027532
1.0141,3.40549,10.3186,5.31452,1.45921,4.67383,7.34036,6.84308,0.00387953
1.59358,10.2781,13.7037,2.18963,1.35991,9.38134,11.1262,3.70449,0.00206695
5.51732,9.18456,2.54943,10.0484,6.12659,17.3984,12.9221,1.90257,0.000771521
3.21743,24.4724,9.93188,5.46967,2.27369,4.50345,13.9245,10.8233,0.00269306
6.28472,23.9681,8.96088,3.57551,4.61909,3.00653,2.0186,5.70875,0.00128269
4.48712,8.71072,10.7072,4.85482,3.59093,11.5423,14.6355,5.54786,0.00306591
4.98902,21.6016,5.65764,3.34195,6.40703,18.9794,12.5996,0.94018,0.00140105
0.858402,16.7628,12.7754,3.7082,4.93,8.68403,12.4617,5.23765,0.00394095
0.720951,11.1207,5.46548,11.1726,1.9893,20.314,6.96144,3.60942,0.00327744
4.00628,6.54892,1.72983,11.5864,4.3605,2.35447,9.6105,11.4985,0.00256938
1.76363,20.2078,7.04224,1.84977,4.03804,12.6071,7.58412,6.6763,0.000427354
3.95572,23.4618,14.7665,11.5451,3.84476,6.25323,10.857,1.02025,0.00283015
3.49937,12.9502,5.12346,10.1872,4.08229,17.2677,4.08707,7.26992,0.00266178
5.27152,23.3119,15.1954,7.33442,0.981962,21.5623,11.536,9.13542,0.00291968
6.25328,24.6905,12.1359,8.20358,5.93982,27.535,8.37723,10.0556,0.00246229
3.69679,28.1336,11.5966,2.92369,6.48193,23.6506,12.17,6.42065,0.00356485
1.972,14.5181,6.64991,10.8101,2.21806,5.52157,13.6678,7.14758,0.00295302
5.86835,20.678,3.00765,6.32821,6.56605,3.1741,8.49216,8.35223,0.00377456
5.35727,30.9527,1.17609,6.76074,4.87636,3.75715,15.3313,2.00269,0.00026382
3.76593,31.7737,3.57015,11.2879,5.10231,26.224,1.1471,4.01941,0.00182048
4.50178,11.4362,9.07918,4.07505,1.56655,5.26088,15.9505,11.7967,0.00134785
2.42659,21.9577,1.63376,0.875206,0.774903,19.9204,13.2316,4.3323,0.00194665
4.36577,5.69148,5.25285,7.26429,3.94243,25.4286,3.85589,4.07178,0.00337386
5.11045,16.0472,9.62075,2.40645,5.59719,14.7461,8.57914,8.77523,0.00154207
1.52663,30.3069,14.5466,11.9566,6.42759,24.1621,3.95149,6.46048,0.00103732
2.51671,4.19672,14.4899,10.8642,3.92161,23.2655,13.3761,8.08808,0.00218875
1.14963,16.2787,8.06469,3.80951,4.16079,27.9921,15.1662,2.654,0.00311657
5.04275,21.2012,14.9009,0.80152,2.06938,8.9877,4.22748,2.99218,0.00365201
1.62998,15.3016,7.74425,3.65349,1.86294,30.1657,12.5453,9.10775,0.00361237
