"Dp,ref,pulm","Dp,ref,sys",Rsys,Rpulm,"sActMax,v","sActMax,a","sPasMax,v","sPasMax,a","p0,Ao","p0,Pa","p0,Ve","p0,Pve",lAo,lPa,lVe,lPve,AVdelay,kAo,kVe,kPa,kPve
11.8914,77.2936,1.21287,1.03558,105433.0,94422.6,27431.7,59083.2,0.82898,0.92458,1.23108,1.11574,391.264,167.129,381.7,208.648,0.128969,9.21212,7.58983,8.74722,9.56975
8.45982,83.2389,0.784925,0.788928,104555.0,63987.2,19721.6,54421.7,0.764691,1.0874,0.966231,1.05669,458.049,241.171,340.145,154.784,0.12204,8.82741,9.36386,9.54476,7.76212
10.8164,76.1257,1.07037,1.217,90239.2,89067.6,18227.1,52382.4,0.998975,0.901818,0.769056,1.09438,440.061,167.83,392.026,217.095,0.191298,9.45611,10.2305,9.90361,12.1646
13.605,78.1565,0.797481,0.943498,128652.0,92755.0,22478.4,53266.5,1.22795,0.945945,0.768494,1.20876,461.641,193.368,434.664,180.999,0.191817,9.67722,10.7868,8.63719,11.7429
13.4153,112.211,1.20058,1.18749,143133.0,74063.2,23687.0,55790.6,0.945233,1.16661,0.845725,0.818065,478.138,212.023,321.693,240.996,0.135459,9.21772,9.3115,8.23782,10.799
8.66648,71.74,0.896753,0.916316,115064.0,73644.2,24937.2,40628.3,1.10452,0.844075,1.17952,1.08598,399.211,233.292,398.485,170.032,0.176487,7.34439,9.22158,8.35985,9.83032
13.1011,70.8452,1.16425,0.79453,104060.0,92319.8,17756.1,53418.4,0.823999,1.08707,1.1506,0.937851,320.925,224.099,448.086,186.72,0.198748,7.56065,10.4031,6.6243,11.8745
13.7107,87.0653,1.16103,1.12102,90990.8,75607.6,26356.2,56703.8,0.894611,0.973749,1.24003,0.77131,302.89,178.562,435.443,163.024,0.129587,7.9192,9.72132,8.92332,9.34435
12.486,68.5209,1.24142,0.880165,123917.0,71835.3,24533.0,43117.8,0.913794,1.06007,1.23783,1.04653,460.05,209.533,493.388,211.289,0.165448,9.84686,9.60078,8.9936,7.594
9.78238,71.6173,1.18661,1.23539,95543.6,86046.0,25567.9,56912.1,1.13961,0.896583,1.20718,0.981688,331.443,174.554,464.641,226.997,0.18829,7.52874,8.39541,9.62584,8.10982
11.305,92.3469,1.05481,0.794239,103529.0,81662.2,23758.3,40513.0,0.928604,1.00453,1.03329,0.796659,363.698,189.684,402.952,169.675,0.174411,9.08236,9.04588,9.66562,9.64793
11.856,76.4092,1.22712,0.954457,94492.3,74208.2,24318.9,39366.8,1.06218,1.06086,1.00247,0.931494,387.122,200.666,482.606,159.896,0.174625,7.92412,11.9605,6.75995,9.62398
13.9229,76.2814,1.16485,1.13806,120097.0,67807.4,25315.9,46990.1,0.917311,0.969006,0.902686,1.23691,325.197,195.356,387.845,158.313,0.179911,9.2271,12.413,6.12192,9.96612
9.82651,112.253,0.909743,1.19997,100037.0,103726.0,18190.4,49506.0,0.752459,0.907943,1.04134,1.00176,480.838,153.669,416.226,229.773,0.147244,8.39122,12.3853,8.96314,8.06037
8.47544,86.5801,0.860813,1.14217,103986.0,90567.4,17869.3,44495.1,0.987059,1.04342,0.774281,0.859721,332.822,214.12,424.766,224.469,0.193235,8.85088,8.07072,7.01174,9.22803
10.7513,103.184,1.18265,1.2243,129879.0,64788.2,23894.4,41024.2,0.923902,1.10305,1.00054,1.20085,378.349,193.483,433.749,185.695,0.122354,9.15772,11.2913,7.16941,9.59844
10.2843,86.8129,0.885553,1.2333,136030.0,80725.8,25331.1,47780.0,1.03768,1.12169,0.813389,0.89031,456.066,203.851,425.906,239.905,0.150939,9.63465,11.382,6.03596,12.0574
8.81851,95.1953,1.20165,1.03721,142186.0,82309.5,27158.0,44067.2,0.842444,1.00106,0.944045,1.19793,441.233,241.958,315.555,198.747,0.164957,6.31564,7.90552,9.68427,7.92832
10.2494,81.964,0.958136,1.13958,110198.0,84707.8,22373.3,52882.0,0.792512,1.05271,1.05871,1.24838,336.625,175.331,473.538,239.641,0.186797,8.41201,7.72469,9.24931,10.9062
12.6826,90.8311,0.800819,0.990007,120866.0,95335.9,25041.7,61514.4,1.19259,0.96927,1.14789,0.890712,351.091,184.157,361.656,214.162,0.151402,8.18827,9.92878,8.0575,8.09012
12.4702,88.3611,1.19635,0.813793,126723.0,65293.5,25782.0,57790.4,1.16069,0.869966,1.22064,1.2382,372.459,217.623,467.763,167.759,0.156913,8.96738,9.16266,7.71154,9.82058
8.59704,105.354,1.1454,1.23395,133002.0,85269.7,16679.5,51661.6,0.974942,1.24071,0.80588,1.12192,477.412,171.016,440.596,157.062,0.136314,9.01277,8.21597,9.58204,7.79671
9.01671,96.916,0.812397,0.853776,108005.0,96717.3,23801.8,39964.2,0.879699,0.960577,1.17534,0.750555,323.318,213.144,478.794,237.541,0.146502,6.75144,11.6834,6.5297,8.71641
10.9758,82.442,1.00625,0.847932,147815.0,89016.3,17199.2,56073.9,1.00073,1.09184,0.780648,1.12361,438.055,226.875,484.626,186.063,0.181286,9.0337,8.27991,8.05662,9.74449
10.4594,98.5193,0.807096,0.901938,146621.0,88657.4,18207.3,40835.2,0.963609,1.00276,1.19203,1.05239,489.276,202.311,473.026,177.747,0.171604,6.84969,8.81544,6.19147,7.57399
9.11932,79.2688,0.901741,0.823878,120553.0,67888.7,25373.0,51571.0,0.83646,1.14936,0.971501,0.859188,376.238,204.874,333.416,219.634,0.199973,9.18488,8.96243,6.89494,10.068
13.3502,73.6654,1.04687,1.07045,121073.0,83269.6,22672.0,44580.4,1.11436,0.819811,1.06304,0.902397,308.005,225.34,406.823,192.667,0.132031,7.85922,8.56343,6.05213,9.94095
10.8826,85.4335,1.1743,0.968534,95687.6,65785.3,23951.0,49767.4,0.769378,0.830964,0.929282,0.788488,357.27,209.582,459.388,156.041,0.157994,6.61915,11.8228,6.23828,10.3218
12.7384,79.5284,1.10674,0.850021,122313.0,70953.5,18300.2,58291.6,1.14803,1.24658,1.239,1.18155,442.53,188.488,436.305,150.092,0.134035,7.67468,12.0675,7.9839,7.56123
9.63461,105.84,1.21932,1.14537,94469.6,93104.0,19964.4,47348.1,0.906092,0.858702,0.86201,1.24891,418.669,196.856,326.946,230.94,0.147103,8.71577,7.87435,6.79675,9.33853
11.2586,80.4313,0.86701,1.14962,94337.3,64150.5,27452.3,37538.4,1.20706,0.874625,1.15757,1.17152,327.523,243.317,499.788,156.794,0.131909,9.17661,10.8474,6.85941,8.73515
8.87614,77.0646,1.22075,1.00836,146187.0,96358.0,26427.0,37561.2,0.844295,1.21184,0.822731,0.839036,372.962,214.348,396.845,226.275,0.160686,6.40771,10.7202,8.2532,11.0913
11.5033,93.2184,1.04354,1.17941,118632.0,98103.1,17735.3,58798.7,0.983181,0.759936,0.821316,0.935953,427.967,217.911,373.186,185.082,0.123492,9.39176,10.1928,7.81515,12.4602
10.6044,104.431,1.11118,0.838552,145236.0,102484.0,18625.3,48282.8,1.09626,1.00066,1.20015,0.82195,475.544,249.534,320.97,215.864,0.169799,9.18808,8.61079,9.51776,10.6851
11.8138,95.6544,1.10589,1.11775,97726.9,97077.4,18283.1,45193.1,1.07362,1.02718,0.787906,0.97093,362.46,223.823,353.284,202.383,0.171264,8.98518,10.2034,7.11672,10.7248
11.6413,67.8152,0.919248,0.877234,98021.1,78679.8,19405.8,51774.9,1.0254,0.970501,0.980823,0.954959,421.213,225.698,361.697,224.185,0.13395,9.77901,7.96434,6.43671,10.9404
12.8248,83.1177,0.780352,1.02116,136660.0,74785.4,26733.0,60827.3,1.19104,1.05496,1.10517,0.940986,453.604,188.221,420.533,181.117,0.150487,7.16012,9.52446,6.13628,8.63504
11.6325,79.4807,1.0841,0.821634,98942.9,95557.2,20447.6,53768.5,0.830245,1.17043,1.14842,1.04218,319.582,213.745,477.699,222.587,0.131074,8.53242,9.19541,8.12556,8.53107
8.99721,92.2498,1.10039,0.914451,148086.0,97211.3,25769.2,45141.4,1.1377,0.761115,1.1116,0.841555,359.941,161.978,346.9,229.498,0.126125,9.42903,11.2573,6.51653,11.3204
10.9729,107.848,1.24372,0.853029,144141.0,72025.4,19335.0,41640.4,1.05323,0.926138,1.08292,1.12427,334.354,165.428,488.75,234.676,0.178544,6.32558,9.92204,6.15773,12.1942
12.2376,80.7454,1.14728,1.03584,119627.0,72631.2,17308.4,58337.9,0.992116,0.919672,0.947041,0.798159,332.682,197.464,379.273,206.304,0.18169,9.78606,12.4109,8.61647,7.88656
13.6921,98.823,0.807709,1.19505,125054.0,95506.6,19502.1,40904.6,0.821766,0.796892,1.06201,0.773852,434.862,233.753,303.85,216.188,0.192925,7.6777,7.76615,9.08121,8.3026
13.9512,97.3873,0.934681,1.11552,126279.0,70857.7,22264.9,49243.5,0.778893,1.04698,0.889133,0.906706,330.452,217.452,388.101,237.714,0.141447,6.14427,10.6744,7.73346,9.55902
8.56123,80.8234,0.97383,1.09581,92097.7,88084.2,17691.4,54352.0,0.813239,1.0688,0.779748,0.973184,360.465,197.24,485.079,167.019,0.194123,6.67445,9.14884,6.39747,11.2562
11.0769,92.9002,1.06454,0.922321,92351.4,69948.9,21286.1,47420.5,1.1832,0.803038,0.94006,0.896969,427.6,170.82,417.834,209.293,0.137927,7.33857,10.6516,7.09393,11.4595
10.0512,83.8345,1.2069,1.24554,101062.0,92543.0,21044.8,49754.2,1.15546,1.15053,0.890036,0.78701,408.954,232.538,405.967,243.976,0.18987,6.00506,8.13283,9.15843,12.0248
10.7748,96.9675,0.783453,0.906073,140808.0,68564.9,20918.8,44309.6,0.982497,1.01936,1.15575,1.06077,314.925,218.653,367.652,171.367,0.130137,9.80103,12.0164,8.17188,11.2143
9.59089,83.5576,1.14491,0.895218,147543.0,65537.5,24852.4,39601.7,0.936839,1.16198,0.851449,1.14565,453.359,246.11,313.154,211.472,0.165098,6.55325,9.58635,9.34835,7.50644
14.0224,106.695,0.977499,0.835267,134047.0,69429.3,27270.2,43136.0,1.03578,1.10876,0.925092,0.92004,391.919,215.181,362.729,166.404,0.140782,8.55645,9.81818,8.10215,9.77309
9.54796,96.8598,1.00433,0.984806,146733.0,85239.2,23646.8,50915.3,0.989501,0.913052,0.899484,1.22062,416.179,185.577,493.078,226.218,0.175239,8.2708,8.23717,8.47335,11.8189
11.8363,87.6465,1.08958,1.05711,139182.0,103191.0,20658.3,41177.8,0.864266,0.981807,0.88848,1.00004,342.852,207.506,329.093,195.596,0.138039,6.95194,11.2509,8.87924,9.94963
11.972,75.4698,1.10354,1.12396,113536.0,79879.1,23245.1,55742.3,0.774589,0.808825,1.03626,1.10177,334.66,237.625,326.151,247.93,0.182733,9.83161,9.85763,6.46147,11.7122
9.46526,102.005,0.869907,0.825402,124345.0,95932.5,21543.4,55905.8,0.754763,0.838244,1.16281,0.815101,365.024,174.176,492.076,199.145,0.124495,7.00517,10.7991,8.1983,7.69228
13.3764,74.3693,1.19484,0.81958,119073.0,102833.0,24927.7,45309.1,1.04293,1.08263,0.848448,1.16092,442.944,194.079,415.234,247.427,0.132184,9.65118,12.1283,6.80487,11.4927
8.86722,69.3697,1.23974,1.13234,111265.0,85580.2,26563.1,41332.6,0.864471,0.99576,0.935029,1.16899,394.881,188.352,318.47,161.889,0.196667,8.05185,8.76877,9.10864,12.2383
12.2203,111.997,0.929334,1.13481,132641.0,74359.7,26873.5,45566.8,1.17915,1.02415,0.998126,0.852541,381.176,216.59,475.651,195.201,0.17057,6.3677,10.2744,7.03967,9.01262
13.0109,85.7281,1.15931,0.829691,140553.0,94991.7,18243.2,56484.4,0.819029,1.20578,1.15438,1.24388,387.462,150.451,309.115,245.46,0.199303,9.13226,8.26592,6.39338,8.00486
13.2334,99.3949,0.918332,1.21351,136805.0,78561.5,25737.4,58548.0,0.898503,1.08978,1.1353,1.06893,453.08,226.677,412.536,201.747,0.125769,8.6296,11.7056,7.37186,7.84128
13.6154,92.0318,1.15131,1.2294,97841.5,67172.0,16888.0,60293.5,0.860853,0.925362,1.11809,0.767402,495.764,186.551,305.266,232.124,0.151349,6.92003,8.16276,6.60315,11.6352
9.89748,107.902,1.17031,1.06229,95462.9,83647.7,26991.6,38520.4,1.05073,0.794481,1.233,0.946642,436.624,209.257,459.81,222.81,0.128453,8.59876,10.648,7.38295,8.26577
8.82299,69.7075,0.888606,1.17913,100415.0,103120.0,22438.6,56384.9,0.932812,0.957012,0.864521,1.23998,496.051,205.336,330.062,168.893,0.171814,6.58255,8.37893,8.16579,8.3759
10.9897,103.64,0.81869,1.12323,90138.8,76879.1,22883.2,53577.6,1.24005,1.08011,1.15963,0.98932,321.759,216.492,303.041,189.451,0.179627,7.41555,11.4462,9.57659,9.02511
10.3051,73.0423,1.08331,1.15992,132511.0,94396.4,24446.3,52706.4,1.2048,0.882541,0.880247,0.784352,483.286,208.993,387.713,174.116,0.155493,7.77838,11.7583,9.58805,10.2851
8.92452,87.8826,0.878922,1.07243,117714.0,97952.0,17059.4,39524.6,1.06022,0.791745,0.871222,1.02956,384.752,202.546,465.909,188.449,0.196515,8.92566,10.071,9.79716,11.2457
9.47639,89.1099,0.761913,1.15533,113873.0,85052.9,26365.5,56019.7,0.931408,0.834062,0.99509,1.14491,407.957,184.378,390.964,229.618,0.163203,9.23498,8.68629,7.04565,10.3293
8.97947,96.712,1.03861,0.780209,98274.4,104141.0,16692.3,37727.1,1.06775,1.13704,1.01499,0.892893,494.511,162.289,393.089,177.123,0.129754,9.381,9.54839,9.55842,12.1482
10.6498,70.1144,0.934111,0.873985,122528.0,103958.0,23571.4,48533.8,1.17076,0.763935,1.0467,1.02905,444.072,163.581,474.214,220.832,0.170962,7.31688,9.61133,6.24206,11.0771
11.2804,101.777,0.964597,1.06498,143535.0,82520.7,23133.6,55085.7,0.867266,0.863501,1.01325,0.932492,364.817,207.244,391.587,182.537,0.199549,6.58612,11.9713,8.53592,8.70238
12.3648,70.7719,0.986284,0.928123,140591.0,95681.4,27099.7,37773.9,1.01424,0.903512,0.79332,0.831783,397.288,231.5,491.263,165.982,0.187872,8.11312,7.98421,7.6721,10.4458
13.1948,84.1164,0.877526,1.24813,146508.0,97376.5,20198.2,56389.3,1.06607,0.822905,0.755358,1.02145,465.7,231.465,375.301,174.362,0.188656,8.42848,8.90327,9.26251,7.98282
13.3663,84.1814,0.911906,1.0578,142239.0,97774.5,20247.5,44992.5,1.05307,1.02368,0.985128,1.22685,354.164,248.939,360.051,189.623,0.183655,7.6174,12.4328,6.12788,12.0406
12.8801,74.5053,1.11029,0.942279,97268.2,66180.5,23205.4,60994.1,1.1597,1.03641,1.07085,0.869939,395.839,222.447,309.701,198.523,0.149338,8.52451,9.39837,7.94373,8.15138
10.4031,78.5159,1.06742,1.03063,139737.0,73955.0,22077.1,60839.7,0.750465,0.979603,0.920465,1.01598,431.675,174.369,457.853,216.073,0.139387,8.68085,10.9621,8.82451,12.1324
9.7556,99.3222,1.18478,0.88161,124627.0,71045.1,17372.7,56886.7,0.901198,0.900859,0.911578,1.02611,338.735,235.02,436.457,176.989,0.124058,7.75177,9.85647,7.91796,11.161
9.30197,95.3623,0.84392,1.15369,111639.0,91469.1,18252.3,61693.0,1.01908,0.771276,1.05699,0.825,341.924,152.712,390.032,238.265,0.123242,8.64374,9.21018,6.63718,11.5155
12.3957,105.27,1.07364,0.791915,123469.0,76526.7,20949.1,43832.8,1.18809,0.905455,1.04253,1.08395,438.382,219.62,312.116,173.239,0.134648,8.92023,9.4944,9.96747,12.0186
10.657,96.3389,0.828882,1.17609,133602.0,87693.3,17183.5,50840.7,0.755606,0.861951,1.1443,1.09517,497.184,159.919,446.298,177.935,0.144367,7.14404,8.78993,6.92086,8.92353
9.50618,73.3936,1.17977,0.980016,90614.1,66751.1,22719.1,51199.0,0.765207,1.06215,1.03211,0.9147,423.301,221.241,493.856,183.85,0.139798,8.02947,10.9864,6.98479,8.91619
8.44975,79.3106,0.83932,1.17677,92751.9,99816.8,18083.4,57713.7,1.07499,0.815415,1.22286,0.915826,328.459,181.409,324.715,193.017,0.182428,6.38362,11.738,8.61287,10.8165
10.5167,77.0806,0.876906,0.816472,119845.0,73099.7,22044.1,54976.3,1.08981,1.18185,0.961902,1.00643,467.049,214.874,346.317,223.626,0.137142,6.72345,12.3582,8.59701,11.6774
12.8636,112.463,0.784883,1.07325,129325.0,73170.8,18009.7,47894.7,0.862527,1.01566,1.07468,0.845721,371.578,239.595,450.724,204.845,0.14857,7.97373,9.91176,6.87559,9.7099
8.7424,93.0993,1.00334,1.12737,99750.5,87104.6,26414.8,44207.9,1.15137,1.24767,0.756604,0.92724,496.803,205.6,450.087,210.411,0.122743,9.45133,9.01976,9.71297,11.8638
10.7639,97.9185,1.11449,1.18059,97927.3,65126.7,18495.1,46968.5,1.19314,0.866369,1.14589,0.908182,327.72,179.256,327.549,162.137,0.17263,8.4005,8.22285,6.2712,9.61735
13.7554,100.129,0.857789,0.820498,97513.2,81912.3,17438.9,48241.9,1.06419,1.11175,1.11349,1.1791,411.863,162.751,319.322,215.547,0.170161,6.68923,9.51397,7.88194,12.3508
